Dataset x;Dataset y
3,848797250859E-1;9,957203994294E-1
6,735395189003E-1;9,786019971469E-1
9,140893470790E-1;9,629101283880E-1
1,250859106529E0;9,300998573466E-1
1,828178694158E0;8,958630527817E-1
2,164948453608E0;8,701854493581E-1
2,694158075601E0;8,402282453638E-1
3,127147766323E0;8,088445078459E-1
3,512027491409E0;7,617689015692E-1
3,945017182131E0;7,175463623395E-1
4,522336769759E0;6,633380884451E-1
5,243986254296E0;5,991440798859E-1
5,917525773196E0;5,592011412268E-1
6,446735395189E0;5,106990014265E-1
7,264604810997E0;4,721825962910E-1
8,034364261168E0;4,379457917261E-1
8,756013745704E0;4,094151212553E-1
9,285223367698E0;3,708987161198E-1
9,910652920962E0;3,352353780314E-1
1,077663230241E1;2,924393723252E-1
1,178694158076E1;2,610556348074E-1
1,303780068729E1;2,425106990014E-1
1,438487972509E1;2,196861626248E-1
1,582817869416E1;1,968616262482E-1
1,770446735395E1;1,711840228245E-1
1,962886597938E1;1,512125534950E-1
2,213058419244E1;1,426533523538E-1
2,386254295533E1;1,369472182596E-1
2,545017182131E1;1,198288159772E-1
2,698969072165E1;8,701854493581E-2
2,992439862543E1;7,132667617689E-2
4,190378006873E1;6,847360912981E-2
4,248109965636E1;4,850213980029E-2
5,595189003436E1;1,569186875892E-2
