Dataset 7 x;Dataset 7 y
1,443298969072E-1;1,002853067047E0
3,367697594502E-1;9,971469329529E-1
6,254295532646E-1;9,814550641940E-1
9,621993127148E-1;9,714693295292E-1
1,250859106529E0;9,486447931526E-1
1,780068728522E0;9,229671897290E-1
2,116838487973E0;8,972895863053E-1
2,405498281787E0;8,744650499287E-1
2,694158075601E0;8,516405135521E-1
2,982817869416E0;8,288159771755E-1
3,367697594502E0;8,002853067047E-1
3,704467353952E0;7,703281027104E-1
4,426116838488E0;7,346647646220E-1
4,907216494845E0;7,047075606277E-1
5,676975945017E0;6,718972895863E-1
6,109965635739E0;6,476462196862E-1
6,927835051546E0;6,191155492154E-1
7,793814432990E0;5,920114122682E-1
8,611683848797E0;5,606276747504E-1
9,237113402062E0;5,263908701854E-1
1,015120274914E1;5,049928673324E-1
1,092096219931E1;4,821683309558E-1
1,164261168385E1;4,593437945792E-1
1,231615120275E1;4,407988587732E-1
1,342268041237E1;4,151212553495E-1
1,491408934708E1;3,865905848787E-1
1,563573883162E1;3,666191155492E-1
1,640549828179E1;3,495007132668E-1
1,804123711340E1;3,366619115549E-1
1,832989690722E1;3,181169757489E-1
1,909965635739E1;3,024251069900E-1
1,991752577320E1;2,910128388017E-1
2,059106529210E1;2,810271041369E-1
2,145704467354E1;2,710413694722E-1
2,217869415808E1;2,596291012839E-1
2,299656357388E1;2,467902995720E-1
2,386254295533E1;2,368045649073E-1
2,535395189003E1;2,154065620542E-1
3,098281786942E1;2,068473609130E-1
5,571134020619E1;1,883024251070E-1
5,600000000000E1;1,854493580599E-1
