Dataset x;Dataset y;Dataset2 x;Dataset2 y
1,336744964865E-1;9,920933557849E1;5,728663147946E-2;9,962064012267E1
7,996763967151E-1;9,782790702050E1;3,534496513409E-1;9,849188272474E1
9,337459902355E-1;9,624469676303E1;6,918142301837E-1;9,736342378196E1
1,201094983208E0;9,426638947160E1;9,039919693000E-1;9,560582137149E1
1,667441182281E0;9,308156872337E1;1,157953430180E0;9,447676551840E1
1,735134474098E0;9,129986924170E1;1,368218080783E0;9,347183970844E1
2,001693273003E0;9,050967517380E1;1,368743660314E0;9,268159334100E1
2,002878564104E0;8,872750533851E1;1,441608095403E0;9,196369948054E1
2,269700761032E0;8,754127352944E1;1,611131384383E0;9,103096645432E1
2,470146656256E0;8,615655249617E1;1,756525794858E0;9,009806278540E1
2,804135348955E0;8,398069668777E1;1,901920205333E0;8,916515911648E1
3,070957545883E0;8,279446487870E1;2,047410175723E0;8,808857428984E1
3,339096732924E0;7,962804436375E1;2,217220144448E0;8,672479779048E1
3,673217124634E0;7,725416968477E1;2,435192310267E0;8,550504373425E1
3,673217124634E0;7,725416968477E1;2,605002278991E0;8,414126723488E1
3,740778717440E0;7,567048907369E1;2,726554490706E0;8,277714945011E1
4,007469215356E0;7,468227613520E1;2,896125559643E0;8,177257584504E1
4,274423111295E0;7,329802545554E1;3,017486651529E0;8,069582037569E1
4,674129610641E0;7,231075322427E1;3,138943303329E0;7,947538374864E1
4,740769310368E0;7,211320470730E1;3,259969935512E0;7,890151233130E1
4,740769310368E0;7,211320470730E1;3,260543295001E0;7,803942538500E1
4,808199204162E0;7,072754296680E1;3,309326631542E0;7,724952030298E1
5,341843598017E0;6,835507934865E1;3,406654404838E0;7,602891303322E1
5,075284799112E0;6,914527341655E1;3,359400026934E0;7,451991959179E1
5,409405190822E0;6,677139873757E1;3,625343270018E0;7,373155029411E1
5,809111690169E0;6,578412650631E1;3,770833240408E0;7,265496546748E1
6,209476684571E0;6,380675992211E1;3,771454379855E0;7,172103794232E1
6,542806882214E0;6,262099846665E1;4,085750939863E0;7,078932877234E1
6,758170272796E0;6,195028306362E1;4,086372079310E0;6,985540124719E1
6,802939493810E0;6,038818486424E1;4,183604292691E0;6,877847513514E1
7,152780215082E0;6,039065898532E1;4,232530969104E0;6,777304831654E1
7,197289653382E0;5,921916265207E1;4,401863138254E0;6,712767760576E1
7,547130374654E0;5,922163677315E1;4,499143131592E0;6,597891091485E1
7,547476751606E0;5,870083428498E1;4,547878688176E0;6,526084641168E1
7,635369903113E0;5,805044970503E1;4,669000880274E0;6,454329383663E1
7,679186587510E0;5,792055834813E1;4,766519773399E0;6,303532425144E1
7,679186587510E0;5,792055834813E1;4,743059814299E0;6,202938550472E1
7,854713107812E0;5,701039105436E1;4,960601960501E0;6,145619665820E1
8,117786402669E0;5,597064166883E1;5,082249732131E0;5,994839771572E1
8,293139734495E0;5,532087561916E1;5,082918651535E0;5,894262961171E1
8,424762976161E0;5,467080030435E1;5,300126338035E0;5,887232481719E1
8,687316705591E0;5,441225465107E1;5,397167431586E0;5,808276102058E1
8,994033496369E0;5,350301515272E1;5,566547380693E0;5,736554973094E1
9,037850180766E0;5,337312379581E1;5,591154058772E0;5,664731458506E1
9,037850180766E0;5,337312379581E1;5,639746275484E0;5,614477181847E1
9,126176303464E0;5,207173610565E1;5,761011807454E0;5,521169750684E1
9,520266680322E0;5,129331575961E1;5,857957341090E0;5,456581486794E1
9,870886749735E0;5,012398428230E1;5,930678436306E0;5,406344274405E1
1,000250999140E1;4,947390896749E1;6,148841721955E0;5,255632637238E1
1,030914018794E1;4,869487009118E1;6,149319521530E0;5,183792058381E1
1,048449351977E1;4,804510404150E1;6,197959518199E0;5,126353723835E1
1,083528677766E1;4,661537132011E1;6,415979463975E0;4,997194260326E1
1,114191697420E1;4,583633244380E1;6,416409483592E0;4,932537739354E1
1,144854717074E1;4,505729356749E1;6,754213782658E0;4,932776639141E1
1,171153387136E1;4,414774480400E1;6,996219267067E0;4,825186413559E1
1,197426078926E1;4,362879790664E1;6,996410386897E0;4,796450182016E1
1,236835116612E1;4,285037756060E1;7,165360316388E0;4,789385574024E1
1,263151105522E1;4,168042755302E1;7,310563607033E0;4,724831438675E1
1,289449775584E1;4,077087878953E1;7,359681403276E0;4,595552525272E1
1,311323480087E1;4,064222449316E1;7,360111422893E0;4,530896004300E1
1,315705148527E1;4,051233313626E1;7,480708035460E0;4,538165383538E1
1,315705148527E1;4,051233313626E1;7,697867942002E0;4,538318961973E1
1,355088207941E1;4,012451465635E1;7,818703454356E0;4,509668051782E1
1,381378218579E1;3,934516651490E1;8,229181068681E0;4,466853797066E1
1,407668229217E1;3,856581837345E1;8,229467748426E0;4,423749449752E1
1,433932261584E1;3,817707209814E1;8,326174382274E0;4,395081475291E1
1,451484913614E1;3,726690480437E1;8,423072135953E0;4,337677269286E1
1,469028906221E1;3,648693813266E1;8,568514326385E0;4,237202844509E1
1,490980545538E1;3,518647823790E1;8,568801006130E0;4,194098497194E1
1,512897547160E1;3,440682083132E1;8,641426541431E0;4,158229400576E1
1,574128332807E1;3,428094992117E1;8,666033219511E0;4,086405885989E1
1,609138383205E1;3,389282217613E1;9,076845293538E0;3,993303226073E1
1,613520051645E1;3,376293081922E1;9,077227533197E0;3,935830762986E1
1,613520051645E1;3,376293081922E1;9,077561992899E0;3,885542357786E1
1,639836040554E1;3,259298081164E1;9,077848672644E0;3,842438010471E1
1,683626746680E1;3,168466910869E1;8,907752024175E0;4,021920007722E1
1,718662775350E1;3,090593949752E1;9,223338643034E0;3,734779527808E1
1,779928198691E1;3,025926609920E1;9,344221935345E0;3,698944559731E1
1,819302598682E1;3,000164824133E1;9,416943030561E0;3,648707347342E1
1,858720295792E1;2,909302727325E1;9,417134150391E0;3,619971115799E1
1,902485023646E1;2,857531743643E1;9,610165178429E0;3,620107629963E1
1,906866692085E1;2,844542607952E1;9,803721785999E0;3,541219507384E1
1,906866692085E1;2,844542607952E1;9,804247365530E0;3,462194870640E1
