Dataset x;Dataset y
1,101733622583E-1;9,897442909742E-1
7,765031572496E-1;9,759627146670E-1
9,109485402733E-1;9,601680991240E-1
1,178767102661E0;9,404318682939E-1
1,645394529826E0;9,286117148319E-1
1,713510724387E0;9,108369068470E-1
1,980257083116E0;9,029536762730E-1
1,981865388605E0;8,851741758889E-1
2,248969148553E0;8,733399452295E-1
2,449743720039E0;8,595255221283E-1
2,784248872109E0;8,378184836547E-1
3,722864744736E0;7,549131754507E-1
3,989789804075E0;7,450544448339E-1
4,257072264633E0;7,312447141318E-1
4,657013102116E0;7,213953683134E-1
5,793544336470E0;6,562836376908E-1
6,527990326023E0;6,247272533988E-1
7,533590682407E0;5,856184326828E-1
7,665485723975E0;5,778341485791E-1
7,841228280848E0;5,687540264557E-1
8,104548369776E0;5,583811516413E-1
8,280055929545E0;5,518988762145E-1
8,411833472561E0;5,454135154590E-1
8,674448570177E0;5,428341807342E-1
8,981381177306E0;5,337633145967E-1
9,508138853715E0;5,117186416196E-1
9,859036474700E0;5,000530141142E-1
9,990814017716E0;4,935676533587E-1
1,029762912629E1;4,857957105694E-1
1,047313668606E1;4,793134351426E-1
1,082426930415E1;4,650499609406E-1
1,113108441273E1;4,572780181514E-1
1,143789952130E1;4,495060753621E-1
1,170110211168E1;4,404321238960E-1
1,196395220640E1;4,352549424746E-1
1,235822734848E1;4,274891703426E-1
1,262166493596E1;4,158173721800E-1
1,288486752634E1;4,067434207138E-1
1,314748262395E1;4,041640859890E-1
1,314748262395E1;4,041640859890E-1
1,354140527038E1;4,002950839018E-1
1,380449036220E1;3,925200557839E-1
1,406757545403E1;3,847450276660E-1
1,433030805020E1;3,808667695929E-1
1,450605060707E1;3,717866474696E-1
1,468167566539E1;3,640054486944E-1
1,490150073467E1;3,510316418549E-1
1,512085580974E1;3,432535284084E-1
1,573319354282E1;3,419977996608E-1
1,612723368780E1;3,368298742253E-1
1,612723368780E1;3,368298742253E-1
1,639067127528E1;3,251580760626E-1
1,682879393267E1;3,160964659110E-1
1,717933905799E1;3,083276084503E-1
1,779214678528E1;3,018761863097E-1
1,818595193316E1;2,993061075707E-1
1,858034457379E1;2,902414120904E-1
1,906196225082E1;2,837807339639E-1
1,906196225082E1;2,837807339639E-1
1,936842486374E1;2,799055612194E-1
1,980654752113E1;2,708439510678E-1
1,967523997232E1;2,721336184302E-1
2,002543260199E1;2,682615310143E-1
2,041970774407E1;2,604957588823E-1
2,081351289194E1;2,579256801433E-1
2,120743553837E1;2,540566780561E-1
2,168905321540E1;2,475959999296E-1
2,243269849729E1;2,450506038196E-1
2,243269849729E1;2,450506038196E-1
2,273939610731E1;2,385775843786E-1
2,322113128290E1;2,308179829038E-1
2,383393901019E1;2,243665607631E-1
2,409690660346E1;2,178904559935E-1
2,457911177325E1;2,049351611257E-1
2,497326941678E1;1,984683123419E-1
2,554199463166E1;1,959105749174E-1
2,584845724458E1;1,920354021730E-1
2,619853237570E1;1,894622381054E-1
2,663606754033E1;1,868952446950E-1
2,711709772460E1;1,869291833098E-1
3,118434177820E1;1,833193488265E-1
3,170910197922E1;1,833563727699E-1
3,240878224725E1;1,834057380278E-1
3,315219253204E1;1,834581886143E-1
3,376441276657E1;1,835013832150E-1
3,389619030958E1;1,770160224595E-1
3,428976046035E1;1,770437904171E-1
3,477079064463E1;1,770777290319E-1
3,503317074514E1;1,770962410036E-1
3,560201345857E1;1,732395802308E-1
3,647684879072E1;1,707034401067E-1
3,695846646775E1;1,642427619802E-1
3,778933678604E1;1,643013832239E-1
3,870754963928E1;1,656650984732E-1
3,953853745612E1;1,644247963686E-1
3,980185754505E1;1,540519215542E-1
3,106384173836E1;1,852374730479E-1
4,231017313914E1;1,511960067921E-1
4,236164213322E1;1,458986689785E-1
5,421690170483E1;1,444632613129E-1
6,051197775982E0;6,507082677392E-1
6,241321568192E0;6,437940319770E-1
6,329095113068E0;6,403363998733E-1
6,387636920495E0;6,377426615731E-1
6,461186259298E0;6,303872229041E-1
6,637046679171E0;6,200081559232E-1
6,827092138851E0;6,139598708543E-1
6,987866694818E0;6,092084549356E-1
7,090177775887E0;6,061848266237E-1
7,236610626986E0;5,988345301797E-1
7,339117539381E0;5,936460251342E-1
7,426812751726E0;5,910543437240E-1
5,393035714634E0;6,780130535968E-1
5,460277047382E0;6,735508811805E-1
5,527608172937E0;6,680960669744E-1
5,594759712878E0;6,646265363479E-1
5,695464574589E0;6,596704008557E-1
4,804752621793E0;7,161885006733E-1
4,955944603569E0;7,072653347502E-1
5,023320625527E0;7,013141996491E-1
5,107450860168E0;6,948679225627E-1
5,225134416578E0;6,869350406104E-1
9,195403739277E0;5,221441320841E-1
2,931992433895E0;8,287948108959E-1
3,050243612758E0;8,213195292864E-1
3,185426500174E0;8,123487173360E-1
3,337541096144E0;8,018823750444E-1
3,439311868143E0;7,909135724799E-1
3,557924088358E0;7,794470498335E-1
3,676626568911E0;7,669827169279E-1
