Dataset x;Dataset y
1,10E-01;9,90E-01
7,77E-01;9,76E-01
9,11E-01;9,60E-01
1,18E+00;9,40E-01
1,65E+00;9,29E-01
1,71E+00;9,11E-01
1,98E+00;9,03E-01
1,98E+00;8,85E-01
2,25E+00;8,73E-01
2,45E+00;8,60E-01
2,78E+00;8,38E-01
3,72E+00;7,55E-01
3,99E+00;7,45E-01
4,26E+00;7,31E-01
4,66E+00;7,21E-01
5,79E+00;6,56E-01
6,53E+00;6,25E-01
7,53E+00;5,86E-01
7,67E+00;5,78E-01
7,84E+00;5,69E-01
8,10E+00;5,58E-01
8,28E+00;5,52E-01
8,41E+00;5,45E-01
8,67E+00;5,43E-01
8,98E+00;5,34E-01
9,51E+00;5,12E-01
9,86E+00;5,00E-01
9,99E+00;4,94E-01
1,03E+01;4,86E-01
1,05E+01;4,79E-01
1,08E+01;4,65E-01
1,11E+01;4,57E-01
1,14E+01;4,50E-01
1,17E+01;4,40E-01
1,20E+01;4,35E-01
1,24E+01;4,27E-01
1,26E+01;4,16E-01
1,29E+01;4,07E-01
1,31E+01;4,04E-01
1,35E+01;4,00E-01
1,38E+01;3,93E-01
1,41E+01;3,85E-01
1,43E+01;3,81E-01
1,45E+01;3,72E-01
1,47E+01;3,64E-01
1,49E+01;3,51E-01
1,51E+01;3,43E-01
1,57E+01;3,42E-01
1,61E+01;3,37E-01
1,64E+01;3,25E-01
1,68E+01;3,16E-01
1,72E+01;3,08E-01
1,78E+01;3,02E-01
1,82E+01;2,99E-01
1,86E+01;2,90E-01
1,91E+01;2,84E-01
1,94E+01;2,80E-01
1,98E+01;2,71E-01
1,97E+01;2,72E-01
2,00E+01;2,68E-01
2,04E+01;2,60E-01
2,08E+01;2,58E-01
2,12E+01;2,54E-01
2,17E+01;2,48E-01
2,24E+01;2,45E-01
2,27E+01;2,39E-01
2,32E+01;2,31E-01
2,38E+01;2,24E-01
2,41E+01;2,18E-01
2,46E+01;2,05E-01
2,50E+01;1,98E-01
2,55E+01;1,96E-01
2,58E+01;1,92E-01
2,62E+01;1,89E-01
2,66E+01;1,87E-01
3,32E+01;1,83E-01
3,38E+01;1,84E-01
3,50E+01;1,77E-01
3,56E+01;1,73E-01
3,65E+01;1,71E-01
3,70E+01;1,64E-01
3,11E+01;1,85E-01
4,23E+01;1,51E-01
4,24E+01;1,46E-01
5,42E+01;1,44E-01
6,05E+00;6,51E-01
6,24E+00;6,44E-01
6,33E+00;6,40E-01
6,39E+00;6,38E-01
6,46E+00;6,30E-01
6,64E+00;6,20E-01
6,83E+00;6,14E-01
6,99E+00;6,09E-01
7,09E+00;6,06E-01
7,24E+00;5,99E-01
7,34E+00;5,94E-01
7,43E+00;5,91E-01
5,39E+00;6,78E-01
5,46E+00;6,74E-01
5,53E+00;6,68E-01
5,59E+00;6,65E-01
5,70E+00;6,60E-01
4,80E+00;7,16E-01
4,96E+00;7,07E-01
5,02E+00;7,01E-01
5,11E+00;6,95E-01
5,23E+00;6,87E-01
9,20E+00;5,22E-01
2,93E+00;8,29E-01
3,05E+00;8,21E-01
3,19E+00;8,12E-01
3,34E+00;8,02E-01
3,44E+00;7,91E-01
3,56E+00;7,79E-01
3,68E+00;7,67E-01
