time;lpi;gp100;
0,00E+00;1,37E+02;1,36E+02;
4,00E+00;1,06E+02;9,30E+01;
8,00E+00;7,90E+01;8,50E+01;
1,20E+01;5,60E+01;3,20E+01;
1,60E+01;3,80E+01;2,30E+01;
2,00E+01;3,00E+01;1,70E+01;
2,40E+01;2,40E+01;1,60E+01;
4,80E+01;1,80E+01;7,00E+00;
3,20E+01;1,30E+01;5,00E+00;
3,60E+01;1,30E+01;5,00E+00;
4,00E+01;8,00E+00;3,00E+00;
4,40E+01;5,00E+00;1,00E+00;
4,80E+01;2,00E+00;0,00E+00;
5,20E+01;1,00E+00;0,00E+00;
5,60E+01;0,00E+00;0,00E+00;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
